Animal ID,Tank,Rack,DOB,Environmental Condition,Sex,Lineage,Transgenic Status,Experimental Holds,Species,Protocol Number,Experimental History
SAL_027,6,Rack 3,2021-04-02,Aquatic,,PxW,hsyn-GFP,True,Pleurodeles waltl,AABF,Regeneration
SAL_028,9,Rack 3,2022-05-26,Reaqua,,PxW,Wildtype,False,Ambystoma mexicanum,AABI,Viral injection
SAL_029,6,Rack 1,2023-08-22,Aquatic,,Jungle Bobs,GCamP6s,True,Ambystoma mexicanum,AABI,EdU
SAL_030,4,Rack 2,2022-05-10,Reaqua,,Jungle Bobs,hsyn-GFP,True,Polypterus senegalus,AABI,Behavior Conditioning
SAL_031,10,Rack 1,2024-12-23,Terrestrial,,Jungle Bobs,hsyn-GFP,True,Ambystoma mexicanum,AABY,Behavior Conditioning
SAL_032,10,Rack 3,2023-03-04,Reaqua,,PxW,GCamP6s,False,Polypterus senegalus,AABF,Viral injection
SAL_033,9,Rack 3,2022-03-12,Aquatic,,YxO,hsyn-GFP,False,Pleurodeles waltl,AABF,EdU
SAL_034,1,Rack 2,2024-04-02,Aquatic,,PxW,hsyn-GFP,False,Pleurodeles waltl,AABI,EdU
SAL_035,4,Rack 2,2020-03-31,Reaqua,,PxW,GCamP6s,False,Polypterus senegalus,AABF,Behavior Conditioning
SAL_036,9,Rack 1,2023-04-30,Aquatic,,PxW,GCamP6s,False,Polypterus senegalus,AABI,Behavior Conditioning
SAL_037,9,Rack 2,2023-03-07,Reaqua,,Sweden,GCamP6s,False,Ambystoma mexicanum,AABF,Regeneration
SAL_038,4,Rack 1,2021-06-17,Aquatic,,PxW,GCamP6s,True,Polypterus senegalus,AABF,Regeneration
SAL_039,5,Rack 1,2022-01-16,Reaqua,,PxW,GCamP6s,False,Ambystoma mexicanum,AABF,Behavior Conditioning
SAL_040,1,Rack 2,2024-08-16,Reaqua,,Sweden,hsyn-GFP,True,Ambystoma mexicanum,AABL,Regeneration
SAL_041,6,Rack 1,2024-01-02,Reaqua,,YxO,Wildtype,False,Polypterus senegalus,AABI,Regeneration
SAL_042,8,Rack 1,2021-12-16,Reaqua,,Jungle Bobs,Wildtype,True,Ambystoma mexicanum,AABI,Behavior Conditioning
SAL_043,2,Rack 3,2024-04-02,Terrestrial,,Jungle Bobs,hsyn-GFP,True,Ambystoma mexicanum,AABI,Viral injection
SAL_044,7,Rack 1,2021-07-07,Reaqua,,Jungle Bobs,Wildtype,False,Ambystoma mexicanum,AABL,Regeneration
SAL_045,3,Rack 2,2024-12-08,Aquatic,,Sweden,hsyn-GFP,False,Ambystoma mexicanum,AABL,Viral injection
SAL_046,5,Rack 3,2025-01-03,Terrestrial,,Jungle Bobs,GCamP6s,False,Ambystoma mexicanum,AABI,Regeneration
SAL_047,7,Rack 3,2020-06-17,Terrestrial,,Sweden,GCamP6s,True,Pleurodeles waltl,AABI,Viral injection
SAL_048,6,Rack 3,2022-08-05,Terrestrial,,Jungle Bobs,Wildtype,False,Pleurodeles waltl,AABY,Regeneration
SAL_049,5,Rack 3,2020-04-25,Reaqua,,Sweden,GCamP6s,True,Polypterus senegalus,AABF,EdU
SAL_050,7,Rack 2,2023-10-09,Reaqua,,YxO,Wildtype,True,Polypterus senegalus,AABL,Viral injection
