Animal_ID,Tank,Rack,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_026,D4,Rack 12,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_027,D4,Rack 12,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_028,D4,Rack 12,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_029,D4,Rack 12,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_030,A1,Rack 2,3/23/21 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_031,A1,Rack 2,3/23/21 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_032,A2,Rack 2,11/28/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_033,A2,Rack 2,11/28/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_034,A3,Rack 2,3/7/21 0:00,,Aquatic,Unknown,,mDlx-GFP,,Pleurodeles waltl,AABL1550,with signal,,,,
SAL_035,B5,Rack 2,11/18/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_036,B4,Rack 3,9/24/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Previously known as Mother of All GCaMPs,,,,
SAL_037,B3,Rack 3,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_038,C4,Rack 3,11/18/20 0:00,F0,Aquatic,Female,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_039,B1,Rack 2,11/19/20 0:00,F0,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,good signal,,,,
SAL_040,B1,Rack 2,7/14/21 0:00,F0,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,good signal,Leucistic,,,
SAL_041,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_042,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_043,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_044,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_045,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_046,D4,Rack 2,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_047,D1,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_048,D1,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_049,D1,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_050,D1,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_051,D1,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_052,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_053,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_054,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_055,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_056,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_057,B4,Rack 2,,,Aquatic,Unknown,,WT,DNE - Fake Placeholder ,Pleurodeles waltl,AABF2564,,,,,
SAL_058,B4,Rack 2,,,Aquatic,Unknown,,WT,DNE - Fake Placeholder ,Pleurodeles waltl,AABF2564,,,,,
SAL_059,B4,Rack 2,,,Aquatic,Unknown,,WT,DNE - Fake Placeholder ,Pleurodeles waltl,AABF2564,,,,,
SAL_060,D2,Rack 2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD - EdU @ St 50,,,,
SAL_061,A2,Rack 10,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_062,A2,Rack 10,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_063,A2,Rack 10,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_064,A1,Rack 12,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,Mother of 12/10/23,,,,
SAL_065,B1,Rack 12,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_066,B1,Rack 12,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_067,C1,Rack 12,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_068,C1,Rack 12,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_069,C1,Rack 12,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Breeders,,,,
SAL_070,C1,Rack 12,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Breeders,,,,
SAL_071,B5,Rack 8,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_072,B5,Rack 8,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_073,B5,Rack 8,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_074,A1,Rack 3,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_075,A1,Rack 3,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_076,A3,Rack 3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_077,A3,Rack 3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_078,A3,Rack 3,7/5/20 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_079,A3,Rack 3,7/5/20 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_080,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_081,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_082,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_083,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_084,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_085,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_086,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_087,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_088,B1,Rack 3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_089,C4,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_090,C4,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_091,C4,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_092,C4,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_093,C4,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_094,D5,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_095,D5,Rack 2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_096,A3,Rack 12,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,EED,,,
SAL_097,A3,Rack 10,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_098,A3,Rack 10,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_099,A3,Rack 10,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_100,A3,Rack 10,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_101,A3,Rack 10,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_102,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_103,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_104,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_105,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_106,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_107,A1,Rack 11,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_108,A3,Rack 11,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_109,A3,Rack 11,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_110,A3,Rack 11,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_111,A3,Rack 11,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_112,A3,Rack 11,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_113,C2,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_114,C2,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_115,C2,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_116,C2,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_117,C2,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_118,C3,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,JW Multiome,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_119,C3,Rack 8,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,JW Multiome,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_120,C5,Rack 8,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_121,C5,Rack 8,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_122,C5,Rack 8,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_123,C5,Rack 8,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_124,B3,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_125,B3,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_126,B3,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_127,B3,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_128,B3,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_129,C1,Rack 2,3/1/23 0:00,,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ - Viral CAG G8s,,,,
SAL_130,C1,Rack 2,3/30/22 0:00,F1,Aquatic,Unknown,,hsyn-GCaMP6s,ECJ,Pleurodeles waltl,AABL1550,,,,,
SAL_131,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_132,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_133,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_134,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_135,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_136,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_137,C5,Rack 2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_138,D4,Rack 4,3/21/22 0:00,,Aquatic,Unknown,,WT,DNE - Fake Placeholder ,Pleurodeles waltl,AABI2617,,,,,
SAL_139,D4,Rack 4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_140,D4,Rack 4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_141,D4,Rack 4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_142,D4,Rack 4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_143,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_144,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_145,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_146,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_147,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_148,B2,Rack 11,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_149,A2,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_150,A2,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_151,A3,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_152,A3,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_153,A3,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_154,A4,Rack 8,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral G8s Flex ECJ,,,,Gummy Schedule
SAL_155,C4,Rack 8,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_156,C4,Rack 8,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_157,C4,Rack 8,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_158,C4,Rack 8,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_159,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_160,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_161,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_162,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_163,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_164,D2,Rack 8,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_165,D5,Rack 8,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/22 0:00,,Gummy Schedule
SAL_166,D5,Rack 8,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/22 0:00,,Gummy Schedule
SAL_167,D5,Rack 8,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/22 0:00,,Gummy Schedule
SAL_168,D5,Rack 8,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/22 0:00,,Gummy Schedule
SAL_169,D5,Rack 8,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/22 0:00,,Gummy Schedule
SAL_170,A4,Rack 2,2/2/23 0:00,,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,PHP CAG G8s ECJ,,,,
SAL_171,A5,Rack 2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_172,A5,Rack 2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_173,A5,Rack 2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_174,B2,Rack 2,1/14/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy Leucistic; Viral PHPeB CAG G8s,,,,
SAL_175,B2,Rack 2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Craniotomy,,,,
SAL_176,D3,Rack 2,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_177,D3,Rack 2,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_178,D3,Rack 2,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_179,C3,Rack 3,1/13/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABL1550,Leucistic,,,,
SAL_180,C3,Rack 3,1/13/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABL1550,Leucistic,,,,
SAL_181,C3,Rack 3,11/11/21 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy Test LX,,,,
SAL_182,A4,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
