Animal_ID,Protocol_Number,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_056,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 50,,,,
SAL_057,AABF2564,Rack 5,A4,1/3/25,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_058,AABF2564,Rack 5,A4,1/3/25,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_059,AABF2564,Rack 13 - Off,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_060,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD - EdU @ St 50,,,,
SAL_062,AABL1550,Rack 10,A2,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_063,AABL1550,Rack 10,A2,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_064,AABF2564,Rack 2,A5,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,Mother of 12/10/23,,,,
SAL_065,AABF2564,Rack 3,B3,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_066,AABF2564,Rack 2,A5,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_067,AABL1550,Rack 3,C1,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,,DFEB6,,,
SAL_068,AABL1550,Rack 3,C1,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,,D5E80,,,
SAL_069,AABL1550,Rack 12,A1,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,Breeders,D5EC2,,,
SAL_070,AABL1550,Rack 12,A1,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,Breeders,8BB129,,,
SAL_074,AABF2564,Rack 3,B1,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_075,AABF2564,Rack 3,B1,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_076,AABF2564,Rack 3,A3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_077,AABF2564,Rack 3,A3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_079,AABF2564,Rack 3,A3,7/5/20 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_081,AABF2564,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_082,AABF2564,Rack 12,A2,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_083,AABF2564,Rack 12,A2,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_085,AABF2564,Rack 12,B4,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,BBEA,,,
SAL_086,AABF2564,Rack 12,B4,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,BBCF,,,
SAL_087,AABF2564,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_094,AABF2564,Rack 13 - Off,A2,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_096,AABF2564,Rack 3,A1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,3D6.15346D5EED,,,
SAL_103,AABL1550,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT, ,Pleurodeles waltl,,,4/23/25 0:00,,
SAL_119,AABL1550,Rack 8,C3,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,Priority to use,Pleurodeles waltl,,,,,Gummy Schedule
SAL_124,AABF2564,Rack 7,A1,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_125,AABF2564,Rack 7,A1,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_126,AABF2564,Rack 7,A1,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_127,AABF2564,Rack 7,A1,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_128,AABF2564,Rack 7,A1,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_130,AABL1550,Rack 2,C1,3/30/22 0:00,F1,Aquatic,Unknown,,hsyn-GCaMP6s,ECJ,Pleurodeles waltl,,,,,
SAL_133,AABF2564,Rack 7,A2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_134,AABF2564,Rack 7,A2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_135,AABF2564,Rack 7,A2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_136,AABF2564,Rack 7,A2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_137,AABF2564,Rack 7,A2,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_138,AABF2564,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_139,AABI2617,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,TC - limb regeneration,,,,
SAL_140,AABI2617,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,TC - limb regeneration,,,,
SAL_141,AABI2617,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,TC - limb regeneration,,,,
SAL_142,AABI2617,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,TC - limb regeneration,,,,
SAL_146,AABL1550,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/3/25 0:00,,Gummy Schedule
SAL_147,AABL1550,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/3/25 0:00,,Gummy Schedule
SAL_148,AABL1550,Rack 13 - Off,A2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,Missing as of 01/2026,Pleurodeles waltl,card still there,,4/3/25 0:00,,Gummy Schedule
SAL_151,AABF2564,Rack 13 - Off,A2,3/16/22 0:00,,Aquatic,Unknown,,WT,Missing as of 01/2026,Pleurodeles waltl,,,,,Gummy Schedule
SAL_154,AABL1550,Rack 13 - Off,A2,3/16/22 0:00,,Aquatic,Unknown,,WT,Missing as of 01/2026,Pleurodeles waltl,Viral G8s Flex ECJ,,,,Gummy Schedule
SAL_155,AABL1550,Rack 13 - Off,A2,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,,,,,Gummy Schedule
SAL_156,AABL1550,Rack 13 - Off,A2,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,,3D6.1543AFBBD9,,,Gummy Schedule
SAL_157,AABL1550,Rack 13 - Off,A2,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,,3D6.1543AFBBF8,,,Gummy Schedule
SAL_158,AABL1550,Rack 13 - Off,A2,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,,,,,Gummy Schedule
SAL_161,AABL1550,Rack 13 - Off,A2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,Gummy Schedule
SAL_162,AABL1550,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,Gummy Schedule
SAL_163,AABL1550,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,Gummy Schedule
SAL_164,AABL1550,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,Gummy Schedule
SAL_168,AABL1550,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,,,1/10/23,2/10/25,Gummy Schedule
SAL_169,AABL1550,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,,,1/10/23,2/10/25,Gummy Schedule
SAL_170,AABL1550,Rack 2,A4,2/2/23 0:00,,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,PHP CAG G8s ECJ,,,,
SAL_175,AABL1550,Rack 2,B2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,Craniotomy,,,,
SAL_176,AABF2564,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_177,AABF2564,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_178,AABF2564,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_179,AABL1550,Rack 3,C3,1/13/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,Leucistic,,,,
SAL_181,AABL1550,Rack 3,C3,11/11/21 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,Craniotomy Test LX,,,,
SAL_190,AABL1550,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,Viral PHPeB CAG G8s LX,,,,
SAL_191,AABL1550,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,Viral PHPeB CAG G8s LX,,,,
SAL_198,AABL1550,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/3/25 0:00,,
SAL_199,AABL1550,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/3/25 0:00,,
SAL_201,AABL1550,Rack 8,B4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_204,AABL1550,Rack 12,B1,8/5/23 0:00,,Aquatic,Female,,WT,breeding,Pleurodeles waltl,,,,,
SAL_205,AABL1550,Rack 12,B1,8/5/23 0:00,,Aquatic,Female,,WT,breeding,Pleurodeles waltl,,,,,
SAL_206,AABL1550,Rack 12,B1,8/5/23 0:00,,Aquatic,Female,,WT,breeding,Pleurodeles waltl,,,,,
SAL_207,AABF2564,Rack 12,C1,7/30/23 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_208,AABF2564,Rack 12,C1,7/30/23 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_209,AABF2564,Rack 13 - Off,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,LX St Jude,Pleurodeles waltl,,,,,
SAL_210,AABF2564,Rack 13 - Off,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,LX St Jude,Pleurodeles waltl,,,,,
SAL_211,AABL1550,Rack 13 - Off,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,LX St Jude,Pleurodeles waltl,,,,,
SAL_212,AABL1550,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_213,AABL1550,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_214,AABL1550,Rack 12,D4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,PA,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_218,AABL1550,Rack 12,D4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_219,AABL1550,Rack 12,D4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_220,AABL1550,Rack 12,D4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_221,AABL1550,Rack 12,D4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,ECJ Viral PHPeB CAG G8s,,,,
SAL_222,AABF2564,Rack 6,C5,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_223,AABF2564,Rack 6,C5,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_225,AABL1550,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,,,11/12/24 0:00,,Gummy Schedule
SAL_226,AABL1550,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,,,11/12/24 0:00,,Gummy Schedule
SAL_227,AABL1550,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,,,11/12/24 0:00,,Gummy Schedule
SAL_231,AABL1550,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,,,11/12/24 0:00,,Gummy Schedule
SAL_235,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,AF51,7/30/24 0:00,,Gummy Schedule
SAL_236,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,9EC8,7/30/24 0:00,,Gummy Schedule
SAL_237,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,C09E,7/30/24 0:00,,Gummy Schedule
SAL_238,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,AD9E,7/30/24 0:00,,Gummy Schedule
SAL_239,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,A9F3,7/30/24 0:00,,Gummy Schedule
SAL_240,AABL1550,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,A237,7/30/24 0:00,,Gummy Schedule
SAL_242,AABL1550,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,3D6.15348BA91,7/30/24 0:00,,Gummy Schedule
SAL_243,AABL1550,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,3D6.15348BB1D0,7/30/24 0:00,,Gummy Schedule
SAL_244,AABL1550,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,3D6.15348B76E2,7/30/24 0:00,,Gummy Schedule
SAL_245,AABL1550,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,3D6.15348B7737,7/30/24 0:00,,Gummy Schedule
SAL_246,AABL1550,Rack 8,A5,12/9/23 0:00,Reaqua K,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_247,AABL1550,Rack 8,A5,12/9/23 0:00,Reaqua K,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_248,AABL1550,Rack 8,A5,12/9/23 0:00,Reaqua K,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_249,AABL1550,Rack 8,A5,12/9/23 0:00,Reaqua K,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_250,AABL1550,Rack 8,A5,12/9/23 0:00,Reaqua K,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_251,AABL1550,Rack 8,A2,12/9/23 0:00,Reaqua I,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_252,AABL1550,Rack 8,A2,12/9/23 0:00,Reaqua I,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_253,AABL1550,Rack 8,A2,12/9/23 0:00,Reaqua I,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_254,AABL1550,Rack 8,A2,12/9/23 0:00,Reaqua I,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_255,AABL1550,Rack 8,A2,12/9/23 0:00,Reaqua I,Reaqua,Unknown,,WT,AMMM JW ,Pleurodeles waltl,,,7/30/24 0:00,6/2/25,Gummy Schedule
SAL_256,AABL1550,Rack 10,C2,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,,,,,Gummy Schedule
SAL_258,AABL1550,Rack 10,C2,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,,,,,Gummy Schedule
SAL_259,AABL1550,Rack 13 - Off,A2,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,,,,,Gummy Schedule
SAL_260,AABL1550,Rack 10,C2,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,,,,,Gummy Schedule
SAL_262,AABF2564,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AD Trackerseq high signal,,,,
SAL_263,AABF2564,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AD Trackerseq high signal,,,,
SAL_264,AABF2564,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AD Trackerseq high signal,,,,
SAL_265,AABF2564,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AD Trackerseq high signal,,,,
SAL_266,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_267,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_268,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_269,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_270,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
